Original,Beam (6),Greedy,Beam err,Greedy err
"Is daoine óga a bhí lán fuinnimh a bhunaigh an Conradh, agus ba é Dubhghlas de hÍde an chéad uachtarán ar an Chonradh.","Is daoine óga a bhí lán fuinnimh a bhunaigh an Conradh, agus ba é Dubhghlas de Híde an chéad Uachtarán ar an Chonradh.","Is daoine óga a bhí lán fuinnimh a bhunaigh an Conradh agus ba é Dubhghlas de h, h, an chéad Uachtarán ar an Chonradh.",substitution: hÍde->Híde; substitution: uachtarán->Uachtarán,"deletion: ,; substitution: hÍde->h; insertion: ,; insertion: h; insertion: ,; substitution: uachtarán->Uachtarán"
"Bhíodh sé a' déanamh boscaidí, fosta, nach mbíonn, Aodáin; ciseáin agus rud rudaí mar sin.","Bhíodh sé a' déanamh boscaidí fosta nach mbíonn aodáin, ciseáin agus rud rudaí mar sin.","Bhíodh sé a' déanamh boscaidí fosta nach mbíonn aodáin, ciseáin agus rud rudaí mar sin.","deletion: ,; deletion: ,; insertion: aodáin; deletion: Aodáin; deletion: ;","deletion: ,; deletion: ,; insertion: aodáin; deletion: Aodáin; deletion: ;"
Tá súil agam go mbainfidh na héisteoirí sult as dhéanfaidh mé iarracht eh giota beag d'Amhrán na Scadán a cheol.,Tá súil agam go mbainfidh na héisteoirí sult as dhéanfaidh mé iarracht eh giota beag d'amhrán na scadán a cheol.,Tá súil agam go mbainfidh na héisteoirí sult as dhéanfaidh mé iarracht eh giota beag d'amhrán na scadán a cheol.,substitution: Amhrán->amhrán; substitution: Scadán->scadán,substitution: Amhrán->amhrán; substitution: Scadán->scadán
"Agus tá cothromaíocht ansin an bhfuil idir, tá a fhios agat, an coláiste samhraidh agus an pobal, tá an pobal báúil tá",Agus tá cothromaíocht ansin an bhfuil idir tá a fhios agat an Coláiste Samhraidh agus an pobal tá an pobal báúil. Tá,Agus tá cothromaíocht ansin an bhfuil idir tá a fhios agat an Coláiste Samhraidh agus an pobal tá an pobal báúil tá,"deletion: ,; deletion: ,; substitution: coláiste->Coláiste; substitution: samhraidh->Samhraidh; deletion: ,; substitution: tá->.; insertion: Tá","deletion: ,; deletion: ,; substitution: coláiste->Coláiste; substitution: samhraidh->Samhraidh; deletion: ,"
"Bhí an t-ádh dearg orainn, déarfainn go raibh an bainisteoir sásta go leor ah gur chríochnaigh an cluiche ar chomhscór.","Bhí an t-ádh dearg orainn, déarfainn go raibh an bainisteoir sásta go leor, ah, gur chríochnaigh an cluiche ar chomhscór.","Bhí an t-ádh dearg orainn, déarfainn go raibh an bainisteoir sásta go leor, ah, gur chríochnaigh an cluiche ar chomhscór.","insertion: ,; insertion: ,","insertion: ,; insertion: ,"
"Air seo, sea, sea. Agus an bhfuil an teach sin có‑, cóiríthe nó tada, as?",Air seo sea sea agus an bhfuil an teach sin có cóiríthe nó tada as?,Air seo sea sea agus an bhfuil an teach sin có cóiríthe nó tada as?,"deletion: ,; deletion: ,; substitution: .->agus; deletion: Agus; deletion: ‑; deletion: ,; deletion: ,","deletion: ,; deletion: ,; substitution: .->agus; deletion: Agus; deletion: ‑; deletion: ,; deletion: ,"
"A! níl ao‑, dódh, f‑, e‑ Bhí, bhí dóiteán ann 1998.","a Níl ao dódh f e bhí bhí dóiteán ann, 1998.",A: Níl ao dódh f e bhí bhí dóiteán ann 1998.,"substitution: A->a; substitution: !->Níl; deletion: níl; deletion: ‑; deletion: ,; deletion: ,; deletion: ‑; deletion: ,; substitution: ‑->bhí; deletion: Bhí; deletion: ,; insertion: ,","substitution: !->:; substitution: níl->Níl; deletion: ‑; deletion: ,; deletion: ,; deletion: ‑; deletion: ,; substitution: ‑->bhí; deletion: Bhí; deletion: ,"
"Agus an mbeadh obair mhór oraibh ansin, dhá, ag baint an tuí agus, Ar chaith‑, chaith‑",Agus an mbeadh obair mhór oraibh ansin dhá ag baint an tuí agus ar chaith chaith,Agus an mbeadh obair mhór oraibh ansin dhá ag baint an tuí agus ar chaith chaith,"deletion: ,; deletion: ,; substitution: ,->ar; deletion: Ar; deletion: ‑; deletion: ,; deletion: ‑","deletion: ,; deletion: ,; substitution: ,->ar; deletion: Ar; deletion: ‑; deletion: ,; deletion: ‑"
"Sea ach bheadh, bheadh scr‑, bheadh scraith ar an seanteach ann thuas sa tuí freisin. Sén ch‑ Chuirfeá suas an scraith air shul má chuirfeá aon díon ar bith air.",Sea ach bheadh bheadh scr bheadh scraith ar an seanteach ann thuas sa tuí freisin sén ch chuirfeá suas an scraith air shul má chuirfeá aon díon ar bith air.,"Sea ach bheadh bheadh scr bheadh scraith ar an seanteach ann thuas sa tuí freisin, sén ch chuirfeá suas an scraith air shul má chuirfeá aon díon ar bith air.","deletion: ,; deletion: ‑; deletion: ,; substitution: .->sén; deletion: Sén; substitution: ‑->chuirfeá; deletion: Chuirfeá","deletion: ,; deletion: ‑; deletion: ,; substitution: .->,; substitution: Sén->sén; substitution: ‑->chuirfeá; deletion: Chuirfeá"
"U‑ bhuel en. Sin é an a thugann siad air. Seobh é an, an ceann a chuireanns iad, an",U bhuel en sin é an a thugann siad air seobh é an an ceann a chuireanns iad an,U bhuel en sin é an a thugann siad air seobh é an an ceann a chuireanns iad an,"deletion: ‑; substitution: .->sin; deletion: Sin; substitution: .->seobh; deletion: Seobh; deletion: ,; deletion: ,","deletion: ‑; substitution: .->sin; deletion: Sin; substitution: .->seobh; deletion: Seobh; deletion: ,; deletion: ,"
"Agus em, ar cuimhneach leat, cén, cén uair, cén aois a bhí tú nuair a thosaigh tú ag an scoil?",Agus em ar cuimhneach leat cén cén uair cén aois a bhí tú nuair a thosaigh tú ag an scoil?,Agus em ar cuimhneach leat cén cén uair cén aois a bhí tú nuair a thosaigh tú ag an scoil?,"deletion: ,; deletion: ,; deletion: ,; deletion: ,","deletion: ,; deletion: ,; deletion: ,; deletion: ,"
"Ó! bhí Béarla, acú sin i mBaile Chláir. Bhí, mar déarfá, níos mó ná bhí, Ní raibh, ní raibh mórán Béarla ar an mbaile seo ar chor ar bith.",Ó bhí Béarla acú sin i mBaile Chláir bhí mar déarfá níos mó ná bhí ní raibh ní raibh mórán Béarla ar an mbaile seo ar chor ar bith.,Ó bhí Béarla acú sin i mBaile Chláir bhí mar déarfá níos mó ná bhí ní raibh ní raibh mórán Béarla ar an mbaile seo ar chor ar bith.,"deletion: !; deletion: ,; substitution: .->bhí; deletion: Bhí; deletion: ,; deletion: ,; substitution: ,->ní; deletion: Ní; deletion: ,","deletion: !; deletion: ,; substitution: .->bhí; deletion: Bhí; deletion: ,; deletion: ,; substitution: ,->ní; deletion: Ní; deletion: ,"
"Bhí ma‑, Béarla maith go leor ag m'athair ach an, an, r‑, an aois ro‑, roimhe sin, ní raibh Béarla ar bith acú.",Bhí ma Béarla maith go leor ag m'athair ach an an r an aois ro roimhe sin ní raibh Béarla ar bith acú.,Bhí Ma Béarla maith go leor ag m'athair ach an an R an aois ro roimhe sin ní raibh Béarla ar bith acú.,"deletion: ‑; deletion: ,; deletion: ,; deletion: ,; deletion: ‑; deletion: ,; deletion: ‑; deletion: ,; deletion: ,","substitution: ma->Ma; deletion: ‑; deletion: ,; deletion: ,; substitution: ,->R; deletion: r; deletion: ‑; deletion: ,; deletion: ‑; deletion: ,; deletion: ,"
"Ach, ní raibh, ní raibh Bhí chuile, bhí chuile shórt mur, go, Agus thosaigh muid, thosaigh muid ag foghlaim an Bhéarla as an leabhar Béarla, mar déarfá.",Ach ní raibh ní raibh bhí chuile bhí chuile shórt mur go agus thosaigh muid thosaigh muid ag foghlaim an Bhéarla as an leabhar Béarla mar déarfá.,"Ach ní raibh, ní raibh, bhí chuile, bhí chuile shórt mur go agus thosaigh muid, thosaigh muid ag foghlaim an Bhéarla as an leabhar Béarla mar déarfá.","deletion: ,; deletion: ,; substitution: Bhí->bhí; deletion: ,; deletion: ,; substitution: ,->agus; deletion: Agus; deletion: ,; deletion: ,","deletion: ,; substitution: Bhí->,; insertion: bhí; deletion: ,; substitution: ,->agus; deletion: Agus; deletion: ,"
"Sea. Le fanacht le haghaidh ag obair agus, bhí an dreatháir eile ansin, Séamas a cailleadh anuraidh, bhí sé sin, fuaigh sé sin ag obair dhon.",Sea le fanacht le haghaidh ag obair agus bhí an dreatháir eile ansin Séamas a cailleadh anuraidh. Bhí sé sin fuaigh sé sin ag obair dhon,"Sea, le fanacht le haghaidh ag obair agus bhí an dreatháir eile ansin Séamas a cailleadh anuraidh, bhí sé sin fuaigh sé sin ag obair dhon","substitution: .->le; deletion: Le; deletion: ,; deletion: ,; substitution: ,->.; substitution: bhí->Bhí; deletion: ,; deletion: .","substitution: .->,; substitution: Le->le; deletion: ,; deletion: ,; deletion: ,; deletion: ."
"E- sea bhí, bhí, bhí muid in ann scór a dhéanamh i Sasanaibh. Thabharfá, thabharfá airgead abhailí as Sasanaibh th'éis na trí mhí.",Sea bhí bhí bhí muid in ann scór a dhéanamh i Sasanaibh thabharfá thabharfá airgead abhailí as Sasanaibh th'éis na trí mhí.,Sea bhí bhí bhí muid in ann scór a dhéanamh i Sasanaibh thabharfá thabharfá airgead abhailí as Sasanaibh th'éis na trí mhí.,"substitution: E->Sea; deletion: -; deletion: sea; deletion: ,; deletion: ,; substitution: .->thabharfá; deletion: Thabharfá; deletion: ,","substitution: E->Sea; deletion: -; deletion: sea; deletion: ,; deletion: ,; substitution: .->thabharfá; deletion: Thabharfá; deletion: ,"
"E- tá, tá sé ina ch-, tá sé ag múnadh istigh i scoil, i. má tá aon aithne agad air. Agus en, níl aon Ghaeilge mhaith acú.",Tá tá sé ina ch- tá sé ag múnadh istigh i scoil i má tá aon aithne agad air agus en níl aon Ghaeilge mhaith acú.,Tá tá sé ina ch- tá sé ag múnadh istigh i scoil i má tá aon aithne agad air agus en níl aon Ghaeilge mhaith acú.,"substitution: E->Tá; deletion: -; deletion: tá; deletion: ,; deletion: ,; deletion: ,; deletion: .; substitution: .->agus; deletion: Agus; deletion: ,","substitution: E->Tá; deletion: -; deletion: tá; deletion: ,; deletion: ,; deletion: ,; deletion: .; substitution: .->agus; deletion: Agus; deletion: ,"
"má dhéanann tú d'obair bhaile agus má tá tú ag éisteacht sa rang, bíonn, tá sé ceart go leor.",Má dhéanann tú d'obair bhaile agus má tá tú ag éisteacht sa rang bíonn tá sé ceart go leor.,Má dhéanann tú d'obair bhaile agus má tá tú ag éisteacht sa rang bíonn tá sé ceart go leor.,"substitution: má->Má; deletion: ,; deletion: ,","substitution: má->Má; deletion: ,; deletion: ,"
"i Ros Muc. Mar tá Ros Muc fíorbheag. B'fhéidir, tá mé ag cheapadh go bhfuil ar nós, cé mhéad? Cúig chéad?",I Ros Muc mar tá Ros Muc fíorbheag b'fhéidir tá mé ag cheapadh go bhfuil ar nós cé mhéad cúig chéad,I Ros Muc mar tá Ros Muc fíorbheag b'fhéidir tá mé ag cheapadh go bhfuil ar nós cé mhéad cúig chéad,"substitution: i->I; substitution: .->mar; deletion: Mar; substitution: .->b; deletion: B; deletion: ,; deletion: ,; substitution: ?->cúig; deletion: Cúig; deletion: ?","substitution: i->I; substitution: .->mar; deletion: Mar; substitution: .->b; deletion: B; deletion: ,; deletion: ,; substitution: ?->cúig; deletion: Cúig; deletion: ?"
"Béarla. Mar nuair a bhog muid anseo, bhí sé deacair, mar níor thuig mé go leor rudaí a bhí daoiní a rá, ar nós focla móra agus",Béarla mar nuair a bhog muid anseo bhí sé deacair mar níor thuig mé go leor rudaí a bhí daoiní a rá ar nós focla móra agus,Béarla mar nuair a bhog muid anseo bhí sé deacair mar níor thuig mé go leor rudaí a bhí daoiní a rá ar nós focla móra agus,"substitution: .->mar; deletion: Mar; deletion: ,; deletion: ,; deletion: ,","substitution: .->mar; deletion: Mar; deletion: ,; deletion: ,; deletion: ,"
Sin laethanta saoire is faide a bhí agam ariamh. Ach ceapann chuile dhuine go bhfuil muid saibhir nuair a dheireanns mé leo,Sin laethanta saoire is faide a bhí agam ariamh ach ceapann chuile dhuine go bhfuil muid saibhir nuair a dheireanns mé leo.,Sin laethanta saoire is faide a bhí agam ariamh ach ceapann chuile dhuine go bhfuil muid saibhir nuair a dheireanns mé leo.,substitution: .->ach; deletion: Ach; insertion: .,substitution: .->ach; deletion: Ach; insertion: .
"go raibh mé i Meiriceá. Ach bhí muid ag fanacht le, an bhfuil fhios agat, teaghlach, ní chomhaireann sé i ndáiríre.",go raibh mé i Meiriceá ach bhí muid ag fanacht le an bhfuil fhios agat teaghlach ní chomhaireann sé i ndáiríre,go raibh mé i Meiriceá ach bhí muid ag fanacht le an bhfuil fhios agat teaghlach ní chomhaireann sé i ndáiríre,"substitution: .->ach; deletion: Ach; deletion: ,; deletion: ,; deletion: ,; deletion: .","substitution: .->ach; deletion: Ach; deletion: ,; deletion: ,; deletion: ,; deletion: ."
"fíorbheag, ar nós, A! tá sé craiceáilte. Níl tú in ann daoiní a fheiceál ar chor bith.",Fíorbheag ar nós a tá sé craiceáilte níl tú in ann daoiní a fheiceál ar chor bith.,fíorbheag ar nós a tá sé craiceáilte níl tú in ann daoiní a fheiceál ar chor bith.,"substitution: fíorbheag->Fíorbheag; deletion: ,; substitution: ,->a; deletion: A; deletion: !; substitution: .->níl; deletion: Níl","deletion: ,; substitution: ,->a; deletion: A; deletion: !; substitution: .->níl; deletion: Níl"
Tá rud éigin fúthu. B'fhéidir mar gheall nach bhfuil mórán cineál cúltúr acu i ndáiríre.,"Tá rud éigin fúthu, b'fhéidir, mar gheall nach bhfuil mórán cineál cúltúr acu i ndáiríre.","Tá rud éigin fúthu, b'fhéidir, mar gheall nach bhfuil mórán cineál cúltúr acu i ndáiríre.","substitution: .->,; substitution: B->b; insertion: ,","substitution: .->,; substitution: B->b; insertion: ,"
"Ach ní dhearna mé é sin ariamh. Bhí sé fíormhaith. Mar bhí mise scanraithe ag an tús. Ní raibh, níor cheap mé go mbeinn in ann aige.","Ach ní dhearna mé é sin ariamh, bhí sé fíormhaith mar bhí mise scanraithe ag an tús, ní raibh, níor cheap mé go mbeinn in ann aige.","Ach ní dhearna mé é sin ariamh, bhí sé fíormhaith mar bhí mise scanraithe ag an tús ní raibh níor cheap mé go mbeinn in ann aige.","substitution: .->,; substitution: Bhí->bhí; substitution: .->mar; deletion: Mar; substitution: .->,; substitution: Ní->ní","substitution: .->,; substitution: Bhí->bhí; substitution: .->mar; deletion: Mar; substitution: .->ní; deletion: Ní; deletion: ,"
"aici. Agus tá sise, tá teach mór millteach aici. Tá sí saibhir, agus dúirt sí go bhfuil, má íocann muid í, tá muid in ann",aici agus tá sise tá teach mór millteach aici. Tá sí saibhir agus dúirt sí go bhfuil má íocann muid í tá muid in ann,aici agus tá sise tá teach mór millteach aici. Tá sí saibhir agus dúirt sí go bhfuil má íocann muid í tá muid in ann,"substitution: .->agus; deletion: Agus; deletion: ,; deletion: ,; deletion: ,; deletion: ,","substitution: .->agus; deletion: Agus; deletion: ,; deletion: ,; deletion: ,; deletion: ,"
